,x,y
20107,2.4127,48.8513
20108,2.4057,48.8616
20109,2.4054,48.8694
20111,2.3962,48.8674
20113,2.385,48.872
20115,2.4104,48.8644
20116,2.4024,48.8539
20121,2.392,48.8689
20122,2.4088,48.8602
20131,2.3896,48.8594
20132,2.4039,48.8526
20133,2.4096,48.8535
20503,2.4059,48.8477
901,2.3244,48.8614
903,2.3743,48.8371
904,2.3019,48.8522
905,2.3163,48.8631
908,2.3064,48.8629
909,2.3508,48.8558
21002,2.2462,48.8432
21003,2.237,48.8456
21005,2.2417,48.835
21006,2.2335,48.8416
21012,2.2345,48.8306
21013,2.2488,48.8258
21015,2.2418,48.8276
21017,2.2439,48.8335
21019,2.2479,48.8349
21020,2.2537,48.832
21101,2.2978,48.9025
21102,2.3099,48.8971
21103,2.3171,48.9015
21105,2.3133,48.9026
21106,2.3086,48.9007
21108,2.3062,48.9036
21109,2.3025,48.9051
21111,2.3075,48.9081
21113,2.2966,48.8993
21201,2.3113,48.8163
21202,2.3275,48.8172
21203,2.3257,48.8125
21206,2.3209,48.8182
21208,2.3198,48.8131
21209,2.3146,48.8111
21210,2.324,48.8178
21301,2.2539,48.8195
21302,2.251,48.821
21307,2.2686,48.8227
21308,2.2685,48.8336
21310,2.2723,48.8269
21311,2.2785,48.8275
21501,2.226,48.8676
21503,2.2296,48.8709
21701,2.281,48.8169
21702,2.292,48.8189
21703,2.2913,48.821
21704,2.2854,48.8217
21705,2.2888,48.8236
21706,2.2965,48.8233
22001,2.2702,48.8905
22004,2.2615,48.8847
22005,2.261,48.8843
22006,2.2601,48.883
22008,2.2651,48.883
22009,2.2719,48.8812
22010,2.2712,48.8817
22011,2.2785,48.8794
22013,2.2678,48.8851
22101,2.2222,48.8431
22401,2.2986,48.8225
22403,2.3135,48.8218
22405,2.3005,48.8193
22407,2.2874,48.8147
23001,2.2776,48.8936
23003,2.2851,48.8983
23005,2.2982,48.8967
23006,2.295,48.8909
23007,2.2922,48.8904
23009,2.2881,48.8888
23010,2.2842,48.892
28001,2.242,48.8787
28002,2.2477,48.8845
31004,2.4221,48.8555
31005,2.4264,48.8563
31006,2.4244,48.8538
31008,2.4374,48.8577
31009,2.433,48.8688
31010,2.445,48.8568
31011,2.4431,48.8589
31702,2.424,48.8707
31704,2.4279,48.8739
31705,2.4162,48.8645
31707,2.4149,48.8584
31708,2.4151,48.8745
31709,2.4225,48.8571
32001,2.3584,48.9065
32006,2.3585,48.9086
32008,2.366,48.906
32601,2.4119,48.8786
32604,2.4202,48.8812
32605,2.4233,48.8822
32606,2.4189,48.8832
33001,2.368,48.9032
33006,2.3851,48.9101
33010,2.3791,48.9111
33011,2.3753,48.9114
33013,2.3911,48.9145
33102,2.4075,48.8865
33104,2.4032,48.8836
34002,2.3305,48.9026
34004,2.3422,48.9025
34005,2.3483,48.9026
34006,2.3443,48.9104
34007,2.3374,48.9054
34008,2.3315,48.9057
34009,2.3222,48.9053
34010,2.3339,48.9116
34011,2.3321,48.9142
35003,2.3933,48.9027
35005,2.4006,48.8957
35006,2.4091,48.8963
35009,2.4091,48.8921
35010,2.4028,48.8911
35012,2.4143,48.8895
35014,2.4127,48.8933
41101,2.3367,48.8064
41102,2.3347,48.8088
41201,2.4724,48.8463
41202,2.4631,48.8437
41203,2.4555,48.8501
41302,2.4795,48.8365
41601,2.4174,48.839
41604,2.4179,48.8493
42001,2.3952,48.8206
42002,2.392,48.8149
42004,2.3966,48.819
42006,2.3815,48.8169
42008,2.3842,48.8142
42011,2.3921,48.8225
42012,2.3797,48.8102
42013,2.3682,48.8159
42015,2.3743,48.8185
42201,2.4,48.824
42202,2.4057,48.8227
42207,2.4059,48.8267
42501,2.344,48.8103
42502,2.3468,48.8131
42503,2.3317,48.8127
42504,2.3411,48.8144
42701,2.3539,48.8072
42702,2.3582,48.8105
42705,2.361,48.8128
43001,2.4202,48.8463
43002,2.4262,48.8489
43005,2.4334,48.8476
43006,2.4308,48.8415
43007,2.4399,48.8483
43009,2.4522,48.847
43010,2.452,48.8497
43401,2.464,48.82
44101,2.4592,48.8151
44102,2.4215,48.8222
